feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.34676796403128113,0.2621845781320356,0.42789200822984824,NA,NA,NA
Afrochoerodon_kisumuensis__NMDS1,0.003567757239211998,-0.14337534874696223,0.15629079845164956,0.35357625036835894,0.056323000084872565,0.7091243960316151
Afrochoerodon_kisumuensis__NMDS2,-0.04879914273888525,-0.1737582265874647,0.07364778757211607,NA,NA,NA
Afrochoerodon_kisumuensis__Geography,-0.0803511796582936,-0.2809000702873293,0.14951883585242437,NA,NA,NA
Afrochoerodon_kisumuensis__Temperature,0.0036199595050474174,-0.18729059764543696,0.21628617769510483,NA,NA,NA
Afrochoerodon_kisumuensis__PVR1,-0.003950991395831311,-0.15563201861230552,0.1594507377894224,NA,NA,NA
Afrochoerodon_kisumuensis__PVR2,-0.03876393456360186,-0.1390002493788256,0.07321939974142541,NA,NA,NA
Afrochoerodon_kisumuensis__time,0.16900744402810033,0.011247929946725011,0.36947369145467973,NA,NA,NA
Afromastodon_coppensi__NMDS1,0.10772896030335989,-0.10145743934712514,0.40264411502833697,0.8442400873327265,0.05283460053861888,2.0271543164183097
Afromastodon_coppensi__NMDS2,0.007841434151463062,-0.15639559115617263,0.23097061888550768,NA,NA,NA
Afromastodon_coppensi__Geography,-0.01056224620998672,-0.2940221028702057,0.3694417704152841,NA,NA,NA
Afromastodon_coppensi__Temperature,0.06639290713213175,-0.11073275350005701,0.2962212357081099,NA,NA,NA
Afromastodon_coppensi__PVR1,0.09320046659673933,-0.1366520426096144,0.4365555315093757,NA,NA,NA
Afromastodon_coppensi__PVR2,0.011929517546691332,-0.23972684080532036,0.3604233051416615,NA,NA,NA
Afromastodon_coppensi__time,0.22720452538675454,0.01056239875728962,0.48585612445277837,NA,NA,NA
Amebelodon_floridanus__NMDS1,0.09882085144521817,-0.06486207174789836,0.24442237160940433,0.5331226789750853,0.10951331507445289,1.007175845791204
Amebelodon_floridanus__NMDS2,-0.07519381026466883,-0.35010933006391226,0.1608963457695603,NA,NA,NA
Amebelodon_floridanus__Geography,0.13244542571874507,-0.18163874930731255,0.42527787791181093,NA,NA,NA
Amebelodon_floridanus__Temperature,0.029904528428888986,-0.07193212264629617,0.14458226294944404,NA,NA,NA
Amebelodon_floridanus__PVR1,0.09854391352099853,-0.0949644324543522,0.3221389971253589,NA,NA,NA
Amebelodon_floridanus__PVR2,-0.0756496559732398,-0.3282663064839572,0.12699010165309438,NA,NA,NA
Amebelodon_floridanus__time,-0.021934887542581435,-0.0980647111270151,0.07015540461841584,NA,NA,NA
Amebelodon_fricki__NMDS1,0.12624972997558573,-0.046400591379853695,0.3045725753519173,0.6374420603908343,0.08590552638432541,1.2722298678007962
