feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
NMDS1,none,none,none,0.77,3.0779145076850534,0.051280627857696534,7.23929916652691,0.15803548821246433,0.05985764718030548,0.2622321112989452,-132.8555873532058,-286.7530608909847,-15.293714829323221,6.0
NMDS2,none,none,none,0.966,3.625809895320543,0.34629665321756864,8.561078137681498,0.16531313144463267,0.07914878888275334,0.2589419964569565,-130.4784902054793,-267.80855997894736,-21.54534419547383,3.0
Geography,none,Africa_America,none,0.874,4.611231086219886,0.15469571915075497,12.094225616877756,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Geography,none,Africa_Eurasia,none,0.834,2.4983824271764306,0.2339105573033829,5.200860919635681,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Geography,none,Africa_Island,none,0.741,0.9978999130174421,0.058081500037734046,2.6391812037013818,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Geography,none,America_Eurasia,none,0.7,0.8929253927681264,0.01937588824934674,1.9350435377368282,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Geography,none,America_Island,none,0.94,0.3955046392336536,0.0038258343512242213,1.0493502092071045,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Geography,none,Eurasia_Island,none,0.9,0.5130584308122973,0.040953348135338866,1.3944466165358742,0.2630258331216495,0.1415194616243834,0.40054796078149774,-167.1109224673432,-325.9107860771756,-44.10053132147726,2.0
Temperature,none,none,none,0.903,7.571541575865485,0.09168343519190182,21.14945401068046,0.20713195406939108,0.08525249367378407,0.35729378612361673,-39.599970684967786,-78.58292013411727,-5.926193207047788,4.0
Humans,none,0_1,none,0.999,0.22759950687649969,0.07444325848564262,0.39103215574771233,0.7368511137800478,0.43036242122959145,1.100421835986476,-96.63778131543168,-169.41832360223728,-34.4870910215335,1.0
Humans,none,0_2,none,1.0,0.06399246437682647,0.010881548548095804,0.13190875540595376,0.7368511137800478,0.43036242122959145,1.100421835986476,-96.63778131543168,-169.41832360223728,-34.4870910215335,1.0
Humans,none,1_2,none,0.998,0.28016505012271214,0.13098914078770255,0.4625489564882394,0.7368511137800478,0.43036242122959145,1.100421835986476,-96.63778131543168,-169.41832360223728,-34.4870910215335,1.0
PVR1,none,none,none,0.879,3.497458953106929,0.131249906593863,10.442290844600338,0.16555484375120905,0.06519731954866609,0.2843566164253247,-114.00084923540702,-248.52711381778693,-14.858115019555498,5.0
PVR2,none,none,none,0.67,2.286721273271236,0.040627529944314685,7.529273144067941,0.14287523408596628,0.05220041108440279,0.2640097016151339,-96.48618698829563,-221.11924763273672,-8.837288630067007,7.0
time,none,none,none,0.948,4.544150003151884,0.4298966911662853,14.066489485087779,0.12071124702204379,0.02014664339999008,0.2519993910609461,-53.604992898376345,-119.71856135409303,-4.133606434454379,8.0
NMDS1,NMDS2,none,none,0.722,0.5253280754712937,0.01682858095371229,1.3763083933110385,0.10464697497450902,0.04559594474355035,0.1865210812875817,-88.81704213368151,-231.2275297262201,15.86911712108838,11.0
NMDS1,Geography,none,Africa_America,0.674,1.3275087582585194,0.00046832879563800855,12.282528375661803,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
NMDS1,Geography,none,Africa_Eurasia,0.813,2.248798258464886,0.001519735992484453,30.423735390016184,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
NMDS1,Geography,none,Africa_Island,0.634,0.7359749257281647,0.0013819134355365541,6.987931454760833,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
NMDS1,Geography,none,America_Eurasia,0.62,0.8164105527332284,3.8181909015254954e-05,7.732279436002785,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
NMDS1,Geography,none,America_Island,0.635,0.7431368463233607,0.0027100488893955217,4.7828602104485975,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
NMDS1,Geography,none,Eurasia_Island,0.569,0.7934175483373825,0.005664798677466784,7.563585820761417,0.12648906965857293,0.06387240895028126,0.20787505349921645,-61.151171331083766,-177.10815391936922,32.51331374522891,7.0
