feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.3475919250274483,0.26956426688225205,0.44259026634867066,NA,NA,NA
Afrochoerodon_kisumuensis__NMDS1,0.012945176528854269,-0.13743162201896836,0.17774908161258446,0.37151586151919863,0.049017298393623426,0.7611505074414661
Afrochoerodon_kisumuensis__NMDS2,-0.05929714523359938,-0.21098563327371717,0.073942594901299,NA,NA,NA
Afrochoerodon_kisumuensis__PVR1,-0.032315798493150666,-0.19691406574888526,0.1494173185731791,NA,NA,NA
Afrochoerodon_kisumuensis__PVR2,-0.025750497075496034,-0.11534145273357084,0.07807558441617075,NA,NA,NA
Afrochoerodon_kisumuensis__Geography,-0.16351165688458905,-0.4184044664613017,0.07836565820306461,NA,NA,NA
Afrochoerodon_kisumuensis__temp,-0.006908375864914911,-0.22481449921677307,0.2302223373300683,NA,NA,NA
Afrochoerodon_kisumuensis__grassland,0.12531376275559927,-0.15321882608497484,0.4184708011692722,NA,NA,NA
Afrochoerodon_kisumuensis__time,0.16690172580764348,0.0056359154184455265,0.3684530252586559,NA,NA,NA
Afromastodon_coppensi__NMDS1,0.09565846947870058,-0.09369692050560006,0.35195500798076135,0.5733794158754515,0.03089392433396737,1.6256586744513635
Afromastodon_coppensi__NMDS2,-0.00892607598442843,-0.16046739588799142,0.17572430989787516,NA,NA,NA
Afromastodon_coppensi__PVR1,0.04016060525196937,-0.17164756321438812,0.27970149488654605,NA,NA,NA
Afromastodon_coppensi__PVR2,0.005730039196420501,-0.1320334885261632,0.2190314127576403,NA,NA,NA
Afromastodon_coppensi__Geography,-0.06533887265393715,-0.33703670701836586,0.24075682460664963,NA,NA,NA
Afromastodon_coppensi__temp,0.05862902935798655,-0.0835961159775445,0.2944828023724594,NA,NA,NA
Afromastodon_coppensi__grassland,-0.009003452222052202,-0.07442000353099748,0.08688935353361536,NA,NA,NA
Afromastodon_coppensi__time,0.11364155875687273,-0.03416188281388413,0.3353869835059138,NA,NA,NA
Amebelodon_floridanus__NMDS1,0.13463947548104266,-0.04374120906004149,0.32944385690255185,0.5589044382564085,0.0991644816262523,1.0698205153588103
Amebelodon_floridanus__NMDS2,-0.0907776953724914,-0.3776176155856522,0.21976576126872682,NA,NA,NA
Amebelodon_floridanus__PVR1,0.06495412947904627,-0.14196020794419706,0.26343973411585636,NA,NA,NA
Amebelodon_floridanus__PVR2,-0.019338617677242435,-0.15593441475391068,0.12256488390333811,NA,NA,NA
Amebelodon_floridanus__Geography,0.09660752246985775,-0.25617713940573733,0.40221693794037283,NA,NA,NA
Amebelodon_floridanus__temp,0.04065318134609246,-0.08659127725809979,0.16753581082178642,NA,NA,NA
Amebelodon_floridanus__grassland,-0.010862234121223367,-0.07545718172743941,0.06924447081563898,NA,NA,NA
Amebelodon_floridanus__time,-0.004450819713235673,-0.1205840560583804,0.10641833523414583,NA,NA,NA
Amebelodon_fricki__NMDS1,0.17011269924736647,-0.010499661350516755,0.390178616516736,0.6724581589833756,0.1468485047531416,1.3303145251572666
Amebelodon_fricki__NMDS2,-0.0754281508530916,-0.4358460896048438,0.234976838587469,NA,NA,NA
Amebelodon_fricki__PVR1,0.09121734090197964,-0.11117506933506181,0.33322054329758755,NA,NA,NA
Amebelodon_fricki__PVR2,0.002878060936331737,-0.13994767176771566,0.17176462530723402,NA,NA,NA
Amebelodon_fricki__Geography,0.11283987518324247,-0.20315005634454097,0.4801315524469893,NA,NA,NA
Amebelodon_fricki__temp,0.03627154351031011,-0.13705201671923872,0.24222716919104575,NA,NA,NA
Amebelodon_fricki__grassland,-0.013142161534108288,-0.08618227114291804,0.06232265522195033,NA,NA,NA
Amebelodon_fricki__time,0.0038222746114669583,-0.1037602223839928,0.1441566449553346,NA,NA,NA
Anancus_arvernensis__NMDS1,0.14434928109810471,-0.04683152597624682,0.36332376468759975,0.49840572060812294,0.13205835851207126,1.061209109889384
Anancus_arvernensis__NMDS2,-0.0435702464570757,-0.21218537576927174,0.10061082104522397,NA,NA,NA
Anancus_arvernensis__PVR1,-0.060617438850689334,-0.2266397867674885,0.1328520484324566,NA,NA,NA
Anancus_arvernensis__PVR2,-0.010992488768816915,-0.1410675916555297,0.1631129056577987,NA,NA,NA
Anancus_arvernensis__Geography,0.05208470691398115,-0.12167672391045528,0.221721257566215,NA,NA,NA
Anancus_arvernensis__temp,-0.0030865548792966303,-0.13405787343086753,0.14659100253088675,NA,NA,NA
Anancus_arvernensis__grassland,-0.020008569475198155,-0.07231951115601096,0.03530467528982648,NA,NA,NA
Anancus_arvernensis__time,0.08971735352781642,-0.04372955151953685,0.29552713507796774,NA,NA,NA
Anancus_kazachstanensis__NMDS1,0.05941279860920429,-0.06453943324640644,0.1826347816212325,0.18805381597064355,0.025544817543095816,0.417122088140553
Anancus_kazachstanensis__NMDS2,-0.03993437771082538,-0.1286381580380757,0.06187290856421203,NA,NA,NA
Anancus_kazachstanensis__PVR1,-0.03211500120771926,-0.15012368317470665,0.09724345547720151,NA,NA,NA
Anancus_kazachstanensis__PVR2,-0.019391735953570848,-0.11076853346676513,0.07416752803087985,NA,NA,NA
Anancus_kazachstanensis__Geography,0.025717184724633982,-0.06972512870954098,0.1276826867479652,NA,NA,NA
Anancus_kazachstanensis__temp,-0.05674494309333176,-0.18317479960605118,0.08361648130399421,NA,NA,NA
Anancus_kazachstanensis__grassland,-0.011714515799324417,-0.04601764717003824,0.015227473003482268,NA,NA,NA
Anancus_kazachstanensis__time,-0.08918434522933122,-0.18548369200634088,0.021272584634905698,NA,NA,NA
Anancus_kenyensis__NMDS1,0.08050099422616304,-0.04366176192176617,0.23056550254582792,0.33484331760836133,0.06367028077354031,0.6953866330287664
Anancus_kenyensis__NMDS2,-0.011875194568011617,-0.12933537828627417,0.0837226563959465,NA,NA,NA
Anancus_kenyensis__PVR1,0.01880084543729544,-0.1226718138246819,0.19339363646128818,NA,NA,NA
Anancus_kenyensis__PVR2,-0.006843613768077509,-0.11394230798044502,0.09941324275510341,NA,NA,NA
Anancus_kenyensis__Geography,-0.07092091253009113,-0.2525909995426591,0.12758921361280132,NA,NA,NA
Anancus_kenyensis__temp,0.043912846721627145,-0.1082116036454662,0.236020841389583,NA,NA,NA
Anancus_kenyensis__grassland,-0.01222137397305127,-0.06298782940869001,0.031935866125115696,NA,NA,NA
Anancus_kenyensis__time,-0.0565406611805266,-0.14494937329973012,0.04696576298396022,NA,NA,NA
Anancus_lehmanni__NMDS1,0.06216262828454671,-0.07458613147921013,0.20169887307789502,0.3036284133259999,0.06322782757250237,0.5940911368690818
Anancus_lehmanni__NMDS2,-0.04200350464938886,-0.16467951753730314,0.06688295670965821,NA,NA,NA
Anancus_lehmanni__PVR1,-0.0397034902579073,-0.18378295484851795,0.10357167072767388,NA,NA,NA
Anancus_lehmanni__PVR2,-0.01731701951293257,-0.13136877988433304,0.10284717220115122,NA,NA,NA
Anancus_lehmanni__Geography,0.03910659841120955,-0.07858056192592235,0.1720827562932662,NA,NA,NA
Anancus_lehmanni__temp,-0.01228072138212233,-0.10539503821827069,0.09375111105597889,NA,NA,NA
Anancus_lehmanni__grassland,-0.014187730026100735,-0.05397619840216327,0.03009859114775982,NA,NA,NA
Anancus_lehmanni__time,-0.023383699867766755,-0.09830005014640456,0.07173383266182616,NA,NA,NA
Anancus_osiris__NMDS1,0.062377659823963524,-0.05433726151141911,0.19165763135307362,0.29703850513708446,0.07129125704704148,0.5593762747081501
Anancus_osiris__NMDS2,-0.01425681764576451,-0.11247607595945094,0.09041579860711366,NA,NA,NA
Anancus_osiris__PVR1,0.01433633820290929,-0.11874045886193786,0.17574528154248492,NA,NA,NA
Anancus_osiris__PVR2,-0.007861364878779921,-0.10343006045523082,0.0932073747967826,NA,NA,NA
Anancus_osiris__Geography,-0.06295351771761132,-0.24551556971401883,0.12237767213679679,NA,NA,NA
Anancus_osiris__temp,0.03966639484916211,-0.08939835197145383,0.18261770471700212,NA,NA,NA
Anancus_osiris__grassland,-0.010857549470911321,-0.051597006199766454,0.03901828580993473,NA,NA,NA
Anancus_osiris__time,-0.07362039524057769,-0.14965659857682703,-0.0010201284913614467,NA,NA,NA
Anancus_perimensis__NMDS1,0.2196380062720141,-0.11739480378736494,0.6467118924704865,1.476764012817477,0.06494194823662064,3.3136832642609337
Anancus_perimensis__NMDS2,0.04360940414108718,-0.240267410487204,0.4144776022611969,NA,NA,NA
Anancus_perimensis__PVR1,0.05486651174747849,-0.3090994777795431,0.48207636236738977,NA,NA,NA
Anancus_perimensis__PVR2,0.08107362938025565,-0.1364739451560255,0.42411559644506797,NA,NA,NA
Anancus_perimensis__Geography,0.8767659685129335,0.0017195698127402403,2.1020964509983333,NA,NA,NA
Anancus_perimensis__temp,0.10123666949378778,-0.12150623419332161,0.46690083746649036,NA,NA,NA
Anancus_perimensis__grassland,-0.04095702841568701,-0.1403216146401678,0.057063570946077474,NA,NA,NA
Anancus_perimensis__time,-0.1877977047610769,-0.40400637637927694,-0.025959436598627372,NA,NA,NA
Anancus_petrocchii__NMDS1,0.045437991713621256,-0.06549804946543211,0.16276885527721657,0.2808027465240639,0.04704616734071204,0.5559414761985755
Anancus_petrocchii__NMDS2,-0.013957613764615871,-0.1178332562165456,0.07407898524737264,NA,NA,NA
Anancus_petrocchii__PVR1,0.01622346702112649,-0.11753585435963987,0.1740462126552845,NA,NA,NA
Anancus_petrocchii__PVR2,-0.00774408692628888,-0.10193105347015863,0.0991814354917716,NA,NA,NA
Anancus_petrocchii__Geography,-0.056494614245170306,-0.22381154571235187,0.1365586658230974,NA,NA,NA
Anancus_petrocchii__temp,0.03868436413917319,-0.08964773734695708,0.16667209601847713,NA,NA,NA
Anancus_petrocchii__grassland,-0.010077853561635524,-0.051615215513760505,0.03591728862699492,NA,NA,NA
Anancus_petrocchii__time,-0.08136697085582839,-0.1406403788117679,-0.02500298257939635,NA,NA,NA
Anancus_sinensis__NMDS1,0.08714847214088908,-0.046960354521011896,0.23942284934892316,0.3193076070540037,0.10829256831471336,0.6218993262713152
Anancus_sinensis__NMDS2,-0.04421733354270579,-0.1699320524842178,0.07267009227581524,NA,NA,NA
Anancus_sinensis__PVR1,-0.04434701401412076,-0.19198761758599903,0.09582791567116807,NA,NA,NA
Anancus_sinensis__PVR2,-0.01696176430731834,-0.14059294850503193,0.0975770381629791,NA,NA,NA
Anancus_sinensis__Geography,0.03728669612373528,-0.08702150728389205,0.16005827546956614,NA,NA,NA
Anancus_sinensis__temp,-0.019908888600633678,-0.12690514221411872,0.09302413637246122,NA,NA,NA
Anancus_sinensis__grassland,-0.01472507284405332,-0.05533647563987485,0.026292238916677684,NA,NA,NA
Anancus_sinensis__time,-0.01650841398029816,-0.09951854320867859,0.07999952440797017,NA,NA,NA
