feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.18716868391262895,0.15891922989695975,0.21684145741815733,NA,NA,NA
T0__cont_trait_0,-0.0009155764434479112,-0.007745410587244399,0.007206563970367978,0.1809533327701404,0.13642507657426195,0.21884459688710595
T0__cat_trait_0,-0.001806007891094526,-0.01116006812691115,0.005682708264749425,NA,NA,NA
T0__pvr_0,-0.0011945320679881011,-0.012332154048679225,0.00842505464844482,NA,NA,NA
T0__pvr_1,-0.0008925845025596205,-0.007521870254038016,0.006781492858187077,NA,NA,NA
T0__time,-0.0014066502373981825,-0.02155759664884036,0.01397043486445531,NA,NA,NA
T1__cont_trait_0,-0.001571403628668348,-0.011957163434845201,0.007009128016788482,0.18161769104368658,0.13840711482829918,0.2197409682006274
T1__cat_trait_0,-0.001800691529172805,-0.01107417569726249,0.005169027026938569,NA,NA,NA
T1__pvr_0,6.375405232747048e-05,-0.011040529517996903,0.009996485094378428,NA,NA,NA
T1__pvr_1,-0.0009101650871009795,-0.00843594374901048,0.006307980187771241,NA,NA,NA
T1__time,-0.0013324866763274482,-0.017761222546139634,0.011302894914678781,NA,NA,NA
T2__cont_trait_0,-0.0019759664373888014,-0.015032589171063048,0.009686828049670545,0.17938537115112593,0.1391431268800381,0.22127343736195726
T2__cat_trait_0,-0.001518495858260361,-0.010504181091529455,0.0052422006743465185,NA,NA,NA
T2__pvr_0,-0.0017482912372302794,-0.016406985341738692,0.009967333141212557,NA,NA,NA
T2__pvr_1,-0.0010367311176113462,-0.008302976793693781,0.0036553103531133876,NA,NA,NA
T2__time,-0.0015038281110120082,-0.02019343789273633,0.010873648897410614,NA,NA,NA
T4__cont_trait_0,0.00300192949143331,-0.010148733875376565,0.020277040037743017,0.18539367366586976,0.14868626650766983,0.22370086141127793
T4__cat_trait_0,-0.002241680501052213,-0.010882417976243342,0.004830648960978651,NA,NA,NA
T4__pvr_0,-4.486561026601371e-05,-0.008647072849823599,0.008316115669380432,NA,NA,NA
T4__pvr_1,-0.00042610526127688525,-0.00860448654813769,0.005624491743862755,NA,NA,NA
T4__time,-0.0020642883655971936,-0.016806497088953695,0.010709925303410653,NA,NA,NA
T6__cont_trait_0,0.001013997429459428,-0.008551345271174697,0.012498503839826192,0.18254949732223016,0.1433391145372791,0.22358896691468194
T6__cat_trait_0,-0.0020244396387216904,-0.011231473000542624,0.005906166654053607,NA,NA,NA
T6__pvr_0,-0.0010816554387994138,-0.01240258939749167,0.0094590244704129,NA,NA,NA
T6__pvr_1,-0.0007721545781058945,-0.006739718645658269,0.007247138068044209,NA,NA,NA
T6__time,-0.0017549343642309773,-0.01721365862234102,0.01116762806231137,NA,NA,NA
T7__cont_trait_0,-0.002108579425566952,-0.01183836493075618,0.008568393040162586,0.17937181972049598,0.1313032030072633,0.21359784319079975
T7__cat_trait_0,-0.0016166559303490695,-0.010344981005759382,0.005067631581228221,NA,NA,NA
T7__pvr_0,-0.0014809692877163704,-0.01874670804008856,0.01833356382321831,NA,NA,NA
T7__pvr_1,-0.0010670176032417213,-0.00866266711087016,0.003266957448801233,NA,NA,NA
T7__time,-0.001523641945258658,-0.015191553878044564,0.008042940240704455,NA,NA,NA
T8__cont_trait_0,0.0023029968512228026,-0.008136850079558795,0.01736381281987615,0.18500308263209964,0.1442136512755321,0.2194535282545743
T8__cat_trait_0,-0.0023213234420739713,-0.012336668697235154,0.0039675350895526165,NA,NA,NA
T8__pvr_0,0.0002487837206738317,-0.008145623469371366,0.010912174301307476,NA,NA,NA
T8__pvr_1,-0.0005192770389504912,-0.007487425811397677,0.007642937533519981,NA,NA,NA
T8__time,-0.001876781371401256,-0.014892019305298987,0.010138873614181629,NA,NA,NA
T9__cont_trait_0,-0.0011233022660693498,-0.008655020880572527,0.007079805358008156,0.18314176292104128,0.14576125607410767,0.22860867780519184
T9__cat_trait_0,-0.0018107321591117882,-0.011784020170951065,0.004255846345958353,NA,NA,NA
T9__pvr_0,0.0013409392527627517,-0.010573742851493283,0.015224844034494527,NA,NA,NA
T9__pvr_1,-0.0012395436313629587,-0.016019749490179792,0.008539891065430252,NA,NA,NA
T9__time,-0.001194282187806097,-0.015509118837289185,0.008673678361614312,NA,NA,NA
T10__cont_trait_0,0.00216941343580949,-0.009190150207245167,0.01651723627023996,0.18373275568688419,0.145138327166657,0.222286809531401
T10__cat_trait_0,-0.002087797051500601,-0.012589422161709551,0.004391905681554044,NA,NA,NA
T10__pvr_0,-0.0010564027742104038,-0.012648448478070201,0.009220992460984914,NA,NA,NA
T10__pvr_1,-0.0006493304385860902,-0.008135713802457332,0.005815520949371135,NA,NA,NA
T10__time,-0.0018118113972569023,-0.015832808326046936,0.011534638415050258,NA,NA,NA
T11__cont_trait_0,0.0019688329101390533,-0.008756088746951909,0.01644765813049419,0.1834831102066733,0.14574387196302083,0.2241408899964893
T11__cat_trait_0,-0.0021059429612251663,-0.012665945690039732,0.004302392427086292,NA,NA,NA
T11__pvr_0,-0.0010525045023262783,-0.012512228565244456,0.008974315579687836,NA,NA,NA
T11__pvr_1,-0.0006939151682242419,-0.008007561593129082,0.006207536571081071,NA,NA,NA
T11__time,-0.0018020439843188052,-0.01582817380798157,0.010537729197561442,NA,NA,NA
T12__cont_trait_0,-0.00027178935325851704,-0.007378878217913766,0.006804712965963203,0.18915418242305176,0.1518899996005539,0.2316777232468621
T12__cat_trait_0,-0.0018863022863786444,-0.010762546323489285,0.003935985911140583,NA,NA,NA
T12__pvr_0,0.0018856103614686333,-0.009277387096102319,0.01793845539558861,NA,NA,NA
T12__pvr_1,0.0037106666322319053,-0.014014534234955696,0.025820692220001433,NA,NA,NA
T12__time,-0.0014526868436403697,-0.01481781922613832,0.007049638794064839,NA,NA,NA
T13__cont_trait_0,-0.0015953936974589364,-0.01435433315360704,0.00663967167727458,0.19002482311178412,0.14155016520857958,0.23825460820648797
T13__cat_trait_0,0.004386344988100493,-0.009575566254328802,0.025399306613842654,NA,NA,NA
T13__pvr_0,0.0014643565194547724,-0.009758869217978323,0.018487032922582802,NA,NA,NA
T13__pvr_1,0.0007365863678473629,-0.008220036340399785,0.014801373888752106,NA,NA,NA
T13__time,-0.0021357549787883153,-0.01426614601146138,0.008740180108101153,NA,NA,NA
T14__cont_trait_0,-0.0013586074120717315,-0.01232803760509686,0.006077746155322555,0.18341431925920074,0.139397265140559,0.22151243825813274
T14__cat_trait_0,-0.0018178124784977447,-0.012233929802612287,0.004420599668926939,NA,NA,NA
T14__pvr_0,0.0015048869974205548,-0.0108197686783588,0.01578735465160852,NA,NA,NA
T14__pvr_1,-0.001135018635286337,-0.017948721172537044,0.010483411564994216,NA,NA,NA
T14__time,-0.0009478131249927167,-0.010631728684636688,0.006507610044147398,NA,NA,NA
T15__cont_trait_0,-0.0011083909642166138,-0.010745412674617308,0.006621645728752082,0.1803295839929887,0.13844750199223918,0.2182673142876636
T15__cat_trait_0,-0.001872424663575355,-0.012446152255315888,0.00601385620658125,NA,NA,NA
T15__pvr_0,-0.0014829679703063717,-0.01461999470293298,0.00825075997076543,NA,NA,NA
T15__pvr_1,-0.0010526680266067785,-0.008509344146377315,0.005979073253317355,NA,NA,NA
T15__time,-0.0013226482949349372,-0.01266869359382325,0.00972597504417258,NA,NA,NA
T16__cont_trait_0,-0.00020339474832626591,-0.008698799968045963,0.009396728966973805,0.18577812116863576,0.1422670005259076,0.22067960037724346
T16__cat_trait_0,-0.002214727951801112,-0.01145108159022655,0.005418892803845707,NA,NA,NA
T16__pvr_0,0.001310492875793687,-0.008701010933643172,0.016378648502501515,NA,NA,NA
T16__pvr_1,0.001066098273441659,-0.012548148434886573,0.014259770445139312,NA,NA,NA
T16__time,-0.0013490311931009067,-0.01009835607831075,0.010304284375418027,NA,NA,NA
T17__cont_trait_0,0.0014479260978397276,-0.009076157060080692,0.013427519526869205,0.18304000053760341,0.14574389564035062,0.22173565516448168
T17__cat_trait_0,-0.0021532416024215503,-0.01281963385529318,0.004845827852433121,NA,NA,NA
T17__pvr_0,-0.0011512474641467395,-0.012772550439923536,0.009611539729025911,NA,NA,NA
T17__pvr_1,-0.0007628765538737316,-0.008618040489491378,0.005914013858178004,NA,NA,NA
T17__time,-0.0015092438524230162,-0.013124373929515515,0.0073562685758456064,NA,NA,NA
T18__cont_trait_0,-0.002300202322384437,-0.01522573646131208,0.0077320536203956975,0.17917284349093945,0.13081434334475206,0.21278090691656434
