scientificName	cont_trait_0	cat_trait_0
T0	-0.535422555425212	0
T1	-1.2300788194391832	0
T2	0.05951124042634033	0
T3	-0.2388988101626173	0
T4	-0.520698543987541	0
T5	0.23474213764173166	0
T6	0.2657432555037911	0
T7	-0.4194459743840896	1
T8	0.021446590404166715	0
T9	1.1946586071919596	0
T10	-0.6218203463437165	0
T11	1.4384249391552257	1
T12	-0.058845879769221225	0
T13	0.5181185343342477	1
T15	-1.5538731344287713	1
T16	-1.6833874797875397	0
T17	0.4310757568203297	0
T18	0.476926794060903	0
T20	0.9571682673661034	1
T21	-0.309177136189744	0
T22	-1.4090842871042366	1
T23	1.6730486410931982	1
T24	0.20446052804455955	0
T25	-0.7164630880931641	0
T26	-0.17932299871740318	0
T27	-0.2055930845652384	0
T28	-0.3067410745978219	0
T29	-1.5581915868067369	0
T30	-0.5956174566734778	0
T31	0.4191201189612635	0
T32	-0.645339943668834	0
T33	-0.20010424272272764	0
T34	1.2203279764378039	0
T35	-0.023616839321775423	0
T36	-0.11777580490756275	0
T37	0.10480369272509436	0
T38	-0.916010025034565	1
T39	0.7484143632555905	0
T40	-1.205844972256151	1
T41	-0.01305568429438479	0
T42	-0.12424599824318149	0
T43	-1.0031551725581582	1
T44	-1.2855818558707022	1
T46	-0.18816329339946364	0
T47	0.7910978942471543	0
T48	-0.3994968396314283	0
T49	-0.009699792818968113	0
T50	0.06872957055496462	0
T51	-1.136880146467712	1
T52	1.1271024412406128	0
T53	-0.4102165138025441	0
T54	1.1793348203271055	1
T55	0.921133397520719	0
T56	-0.8132658684358036	0
T57	0.552174787574995	0
T58	0.02446160853696258	0
T59	-1.8233694361768233	1
T61	-0.7815264552645934	1
T62	-0.17239864268323335	0
T63	0.15284612643349713	0
T64	-1.0169973154626697	0
T65	0.6631392300827682	0
T66	1.5895890522732357	0
T67	-0.22187055949575119	0
T68	-1.4321740838121124	0
T69	0.7458664637891385	0
T70	0.6800120110731277	0
T71	0.08728766731705451	0
T72	1.7449522160515816	0
T73	-0.5057691693420923	1
T74	1.3563173624899572	1
T75	-0.13873186639574722	1
T76	1.2440218129070768	1
T77	-1.4298483687447785	1
T79	-0.257672864646016	0
T80	-1.163399439615524	1
T81	-0.09657038897191005	0
T82	0.8675867377014763	0
T83	-1.1703645978484958	0
T84	0.8028778464997924	0
T85	0.24382445963134536	1
T86	0.975603490945801	1
T87	-0.2300718022925006	0
T88	0.32262457633590474	1
T89	-1.58249948638344	1
T90	1.4299236912031488	1
T93	-0.01495431036450991	0
T94	-0.9014757876619556	1
T95	-0.6909484702729454	0
T96	-0.2258750797511038	1
T97	0.6077966415505252	0
T98	-1.7066784723107775	1
T99	-1.391421651376174	1
T100	0.4191940902512934	1
T101	-1.5450869906241818	1
T102	-0.11516282672322564	0
T103	-0.35155911802300166	0
T104	1.1579178966555987	1
T105	-0.9652104871780215	1
T106	-0.6051763105604478	0
T107	0.6655763846171185	0
T108	1.7186336268808526	0
T109	-0.45354079955347726	0
T110	0.8967551319983227	0
T112	-1.8325660475588326	0
T113	-1.3539270531769843	1
T114	0.21482879762641227	0
T116	-0.48672927312098957	0
T118	1.233714859928548	0
T119	-2.843735457808627	1
T120	-0.7494152654391875	1
T121	-0.20067878013017643	0
T122	-0.1305685160723373	0
T123	-0.7882151107001322	0
T125	1.0766320693358953	0
T126	1.1406461875854437	0
T127	0.25090674976208477	0
T128	-0.7726422596778895	1
T130	-0.7562942244296708	1
T131	-0.24386821187906405	0
T132	0.9519976160403696	0
T133	0.24661402469348426	0
T134	0.972027939224462	0
T136	-0.10332722310173749	0
T137	0.5987817541840132	0
T138	-0.1475302667741449	0
T139	1.6401047721096935	0
T140	1.1196433975248412	0
T141	-0.9351244895886874	0
T142	0.9044748394617764	0
T143	0.4658288812003024	0
T145	1.880296835672707	0
T146	1.1308534587332744	0
T147	-0.3282207280740894	0
T148	0.9138799689795267	1
T149	1.4108353211867	0
T150	0.38753833626458034	0
T151	1.2517021040632494	0
T152	-0.7409421105478282	0
T153	2.125159815698522	0
T154	0.07829940528460826	0
T155	0.93807881156345	1
T156	-0.36573951968179336	1
T157	0.4239595566370129	0
T158	-1.6431351834583978	1
T159	-1.5913381634205845	1
T160	1.677692208993774	1
T161	0.5822883731584217	0
T162	-1.1039530765834606	1
T163	-0.43744136510868453	0
T164	-1.2877499325057804	0
T166	-0.00237679074364239	0
T167	-0.24628722514582224	0
T168	-1.362490118440259	0
T169	-0.45709338129180904	1
T170	0.4739901654907333	0
T171	0.8464128461302152	0
T172	-0.8815810301024835	1
T173	1.3653755965072383	1
T175	-1.0679406467269434	0
T177	-1.7681264859985315	0
T178	1.4851816695450089	0
T180	-1.4480141478981483	1
T181	-1.4353888874603185	1
T182	0.9727697207887016	1
T183	-1.6309341016182495	1
T185	0.07736254085784866	0
T186	-0.8405732163717669	0
T187	0.5732623926953285	1
T188	-1.1334821003667053	1
T189	-1.2327076731222233	1
T192	1.7207694756614325	1
T193	-0.5189653158819705	1
T194	-1.1516833440053456	0
T197	0.8963641215421604	0
T198	0.16849839541074182	1
T201	0.09465648860422333	0
T203	2.1698864585078246	0
T204	0.12272130353762056	0
T205	1.172697496538589	1
T206	1.2026517726521848	1
T207	0.8677353918775991	0
T208	-0.009608282999890461	0
T209	-0.21274773732078014	0
T210	1.1566159765791388	0
T212	1.1733312561967242	1
T213	1.1736909463362846	0
T215	-1.9685138360759236	1
T216	2.4138475737624074	0
T217	1.0881464576064817	1
