feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
cont_trait_0,none,none,none,0.964,2.0194068531743783,0.7860075233383217,3.499167661266638,0.03650454605543494,0.014801783742867617,0.06144667628833736,-27.033295887160545,-57.18057884387804,-3.7011160570864376,4.0
cat_trait_0,none,0_1,none,0.776,0.8963664052970476,0.6345548002904546,1.1599731334223087,0.018374016096903856,0.007057003783093842,0.03466703986497372,-6.631314302216844,-18.004105039526394,2.8432925740656856,5.0
pvr_0,none,none,none,0.988,2.27630940139329,1.0206195803404514,4.129492056337323,0.041148380165772,0.0185665119738112,0.06603799425657893,-38.325149714827326,-76.48321889611987,-7.133179552134948,2.0
pvr_1,none,none,none,0.9333333333333333,2.081449379449054,0.6739405661048299,3.8799985797430536,0.039629290881147576,0.01176734720002842,0.06671654733408454,-42.225780382315484,-85.15255373598075,-2.1961536882568,3.0
time,none,none,none,1.0,5.871171160146352,2.0322007752116393,10.822908220718581,0.04933349819504952,0.02242099908556115,0.07741111305824323,-92.8992208740758,-171.445556810791,-17.97607821089389,1.0
cont_trait_0,cat_trait_0,none,none,0.6013333333333334,0.768256062807937,0.0014576168059862483,10.674449845895772,0.022201609104152267,0.004399217939609717,0.4838440244689185,-5.23172362336674,-19.650162445813976,6.57540629323114,9.0
cont_trait_0,pvr_0,none,none,0.9506666666666667,0.29864633289534975,0.0783592836720787,0.5659481894065549,0.03809186825197622,0.006365084390402974,0.4239516362329412,-16.382518859170457,-43.01501778309421,4.32438869631585,3.0
cont_trait_0,pvr_1,none,none,0.872,0.4316634882012604,0.12181906089635161,0.7733916066996868,0.031124651166011742,0.0056203437391557955,0.4616688566787527,-13.18784641783404,-36.14034474954212,7.0551468777875925,5.0
cont_trait_0,time,none,none,1.0,0.17647961182493338,0.04203897222157418,0.34510663266236036,0.022393901056397925,0.0027901590377779014,0.486656986841318,-16.028435765991713,-40.31816334411985,4.726810255586088,4.0
cat_trait_0,pvr_0,none,none,0.636,1.1419037112811954,0.0014647128953646526,14.930824274041399,0.021371370824741047,0.002887845996248874,0.46278658828616703,-4.069626922739875,-17.969152322314244,8.55923493988496,10.0
cat_trait_0,pvr_1,none,none,0.7466666666666667,1.310806645208933,0.0023021587496795132,14.058362469412698,0.021009880581245803,0.004361576076530262,0.4330788499193595,-5.174521478859359,-20.06516320113792,7.577502322985424,6.0
cat_trait_0,time,none,none,0.7093333333333334,0.3794531566129128,0.0005014459183923493,3.0694062653723546,0.014256878394170707,0.0014894150702141349,0.44528832123026557,-5.296840145685442,-19.045521117905082,6.641698609853506,8.0
pvr_0,pvr_1,none,none,0.892,0.41709496709832455,0.14004057512379975,0.6969471143074165,0.04945939451051684,0.004634940546303866,0.41847121693599587,-30.856785916081,-69.25391287270224,1.4986936803879871,1.0
pvr_0,time,none,none,1.0,0.19857080815847897,0.04904897686279625,0.4027243831164918,0.02106598243518197,0.001662039460720706,0.4510284492505387,-24.96892818249886,-57.44701841734218,3.738107530600246,2.0
pvr_1,time,none,none,0.704,0.19636521477015853,0.04093820107813669,0.41022840492092566,0.01830677723017009,0.00205518628435069,0.4387824834735031,-25.530041897866592,-56.47500600843,1.8011000843205238,7.0
