scientificName	ts	te	speciation	extinction	ancestral_speciation	cont_trait_anc_0	cont_trait_ts_0	cont_trait_te_0	cat_trait_0	cat_trait_anc_0
T0	35.0	0.0	0.4	0.0	0.0	-0.0029476343382865322	NA	0.6028711614626668	1.0	NA
T1	32.25	25.77	0.4	0.05	0.4	0.15379839331744105	-0.02603394860920924	-0.09290809497019674	1.0	1.0
T2	30.78	27.73	0.4	0.05	0.4	-0.014453232744889927	-0.35652620963284326	-0.06788736740132367	1.0	1.0
T3	30.33	0.0	0.4	0.0	0.4	-0.3352197880492919	-0.27949323234474055	-0.36213621101467114	1.0	1.0
T4	28.75	10.06	0.4	0.3	0.4	-0.05025463706905712	-0.08555445092936301	-0.7687675095562313	1.0	1.0
T5	28.69	20.96	0.4	0.05	0.4	0.4414319355965654	0.24358242624143453	-0.03466905613624923	1.0	1.0
T6	28.62	24.39	0.4	0.05	0.4	0.22103770280064672	0.9828339793774185	1.2514641196092764	1.0	1.0
T7	28.12	15.27	0.4	0.05	0.4	-0.2662405306839771	-0.014277985546515382	0.012658588679844738	1.0	1.0
T8	28.02	0.0	0.4	0.0	0.4	-0.08290674399578671	0.12675365305696376	1.0026276620876302	1.0	1.0
T9	27.86	12.19	0.4	0.3	0.4	-0.24806346417296657	-0.4567605856716974	-0.42565090271404166	1.0	1.0
T10	27.75	7.82	0.4	0.01	0.4	1.1316571822612094	0.8140891061120241	0.7224776112604937	0.0	1.0
T11	27.63	17.96	0.4	0.05	0.4	0.05295335726658222	-0.1259651013137973	0.03221714520114326	1.0	1.0
T12	27.26	14.05	0.4	0.3	0.4	0.8007674971226372	1.4749520994194538	1.9574629871568403	0.0	0.0
T13	27.08	20.74	0.4	0.05	0.4	0.7274779314138435	0.012069688501607279	0.43130252321201984	1.0	1.0
T14	26.99	14.98	0.4	0.3	0.4	1.1468027656863304	0.40012639892132795	0.25949990243045395	1.0	1.0
T15	26.96	12.71	0.4	0.3	0.4	-0.0745006903826553	-0.43853557103284446	-0.2702282055261331	1.0	1.0
T16	26.95	14.39	0.4	0.3	0.4	0.2321306850580622	0.8007785456647013	-0.27354713998234503	1.0	1.0
T17	26.93	26.28	0.4	0.05	0.4	1.584770598192457	1.8587940349673167	1.9415289312330077	0.0	0.0
T18	26.68	22.73	0.4	0.05	0.4	0.013692978017441966	-0.5587389871050021	-0.46271936579570355	1.0	1.0
T19	26.5	13.93	0.4	0.3	0.4	0.32922650639002865	-0.02933347825526006	-0.10104529491177874	1.0	1.0
T20	26.05	14.34	0.4	0.3	0.4	-0.4741091754799234	-0.5470935869262327	-0.6827801760979122	1.0	1.0
T21	25.87	0.0	0.4	0.0	0.4	-0.08440500806067926	-0.3133975311264231	1.0782655091715838	1.0	1.0
T22	25.67	12.44	0.4	0.3	0.4	0.21718981269016643	0.1437492189424388	0.09857913235661478	1.0	1.0
T23	25.5	23.04	0.4	0.05	0.4	0.6580198895922595	0.9076404650887812	1.316280384286847	0.0	1.0
T24	25.38	14.52	0.4	0.3	0.4	0.9332222489129773	0.813802194462225	1.3632937170194357	0.0	0.0
T25	25.37	10.85	0.4	0.3	0.4	0.7992863749551874	0.24030598509434797	0.3228929837777281	0.0	1.0
T27	25.12	19.37	0.4	0.05	0.4	-0.2326737089263317	0.1608036841097656	0.9547962466546829	1.0	1.0
T28	24.93	20.01	0.4	0.05	0.4	-0.003064636515110198	-0.32517349763498377	-0.11412304815788624	1.0	1.0
T29	24.9	12.38	0.4	0.3	0.4	0.9596195931592698	0.3746781169818071	0.18767745409894526	0.0	0.0
T30	24.72	14.87	0.4	0.3	0.4	-0.20012419965762324	-0.19213490707251146	0.27589115457687097	1.0	1.0
T31	24.61	20.83	0.4	0.05	0.4	1.0719846022276853	2.0050321604346215	2.0084999047695677	0.0	0.0
T32	24.46	14.41	0.4	0.3	0.4	1.5422588497409284	1.1316074613921971	0.7998949424522334	0.0	0.0
T33	24.44	14.97	0.4	0.3	0.4	0.19729848779281597	-0.16026169222521539	0.0963449068308718	1.0	1.0
T34	24.31	14.94	0.4	0.3	0.4	0.4128631718517891	1.636990433798661	2.25009232324967	1.0	1.0
T35	24.1	16.28	0.4	0.05	0.4	-0.010499256977046376	-0.3597955687421186	-0.5746491244326928	1.0	1.0
T36	23.92	15.75	0.4	0.05	0.4	-0.24251531288131245	-0.23245874384366558	-0.7192034424243647	1.0	1.0
T37	23.78	11.21	0.4	0.3	0.4	1.1851918550736873	1.0317728717051762	0.6818019969932878	0.0	0.0
T38	23.71	14.42	0.4	0.3	0.4	0.35499134300764557	0.27866914928884	0.47944681432074243	0.0	1.0
T39	23.68	17.65	0.4	0.05	0.4	1.2012047120534064	0.5538584906623738	0.653022884984034	0.0	0.0
T40	23.67	13.11	0.4	0.3	0.4	0.1450254690240692	-0.10346738149875714	0.09896067511385122	1.0	1.0
T41	23.52	21.98	0.4	0.05	0.4	-0.2742606617784632	0.07073009952340537	-0.013105565195023124	0.0	1.0
T42	23.35	13.37	0.4	0.3	0.4	0.9443776901952596	1.3573096885121896	1.9812585587710903	0.0	0.0
T43	23.34	18.79	0.4	0.05	0.4	0.3713449798279664	-0.1275851739615947	-0.3248116241986405	1.0	1.0
