feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.23019339802597852,0.1949730023717771,0.2694274918318597,NA,NA,NA
T0__cont_trait_0,0.06002254466841044,-0.022883059316316033,0.17314062157692692,0.5607749108390508,0.24279366398851981,1.035206968202899
T0__cat_trait_0,0.019166731626701346,-0.03994008296238008,0.111220324452348,NA,NA,NA
T0__pvr_0,0.026749904018627015,-0.08301527011059438,0.15547257180049573,NA,NA,NA
T0__pvr_1,0.027720991763053714,-0.043156093785171865,0.12083183157948824,NA,NA,NA
T0__temp,0.1369439125750187,-0.02866458127149478,0.2993315930098301,NA,NA,NA
T0__time,0.05997742816126119,-0.12206333380912986,0.25651212023346937,NA,NA,NA
T1__cont_trait_0,0.06303385398179039,-0.023502468923804583,0.18425143891607002,0.5727901703297493,0.23791003484295276,1.0600301310120055
T1__cat_trait_0,0.021939348565830907,-0.04383957213462503,0.10497706983695003,NA,NA,NA
T1__pvr_0,0.031151284134975067,-0.07296994301045566,0.16457538548795766,NA,NA,NA
T1__pvr_1,0.02827866821047747,-0.045565344301158245,0.11869325548174771,NA,NA,NA
T1__temp,0.13862163403144667,-0.023666193661622287,0.2935285932090207,NA,NA,NA
T1__time,0.05957198337925048,-0.12051801566048116,0.2343767414584057,NA,NA,NA
T2__cont_trait_0,0.037758492297050146,-0.07510032548654125,0.17188144871347777,0.5019158628724034,0.20791236339390445,0.9363069377670687
T2__cat_trait_0,0.02052455089956631,-0.0407198327442872,0.10091760063097048,NA,NA,NA
T2__pvr_0,0.013402011065509147,-0.10351802563265453,0.12739786841783798,NA,NA,NA
T2__pvr_1,0.017891430876248574,-0.0523989959504607,0.09215245227333264,NA,NA,NA
T2__temp,0.12621142565668939,-0.01718135458269407,0.29368658745551113,NA,NA,NA
T2__time,0.055934554051361184,-0.08589756517026775,0.22533335374017935,NA,NA,NA
T4__cont_trait_0,0.06276685735825661,-0.02382483628478982,0.16733816510482385,0.5378250190001074,0.21815777820726154,0.9418607346611861
T4__cat_trait_0,0.020421213217696257,-0.04645328316636799,0.10127017544396008,NA,NA,NA
T4__pvr_0,0.01985794999428855,-0.09109884871474089,0.1375862741709633,NA,NA,NA
T4__pvr_1,0.026420256400627135,-0.04707247506373574,0.11191151312598954,NA,NA,NA
T4__temp,0.1257678272401498,-0.004688196431828898,0.2729704251712242,NA,NA,NA
T4__time,0.05239751676311043,-0.08674058193672834,0.2272400503907891,NA,NA,NA
T5__cont_trait_0,0.042617242005834485,-0.0326683603322607,0.13278503924881183,0.3941978772232927,0.19280448007633474,0.639201316419926
T5__cat_trait_0,0.005224888226945544,-0.04073013339922078,0.06651445508059457,NA,NA,NA
