feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
cont_trait_0,none,none,none,0.6946666666666667,2.0399794127358732,0.11463935675197436,5.400814393814894,0.013725128255282047,0.004880266160213083,0.02528650956842025,-17.75873519692427,-39.70998899659958,-0.8097081958743502,5.0
cat_trait_0,none,0_1,none,0.9266666666666666,0.6021344344263854,0.11864549171514803,1.091242024903832,0.015798933484815838,0.003471297116475505,0.028981118899781087,-21.901048487985605,-45.7176036532513,-1.1215535801816259,2.0
pvr_0,none,none,none,0.7813333333333333,1.8227185659137395,0.43937893578045295,3.8857894043608576,0.014944757167601954,0.003834843665244587,0.030328016283354995,-19.75572011737367,-43.9787564447048,-0.5216772320894165,3.0
pvr_1,none,none,none,0.6733333333333333,1.4506492125975639,0.31267340139848687,3.0789695725805584,0.014315162145249744,0.005351384727205336,0.025090727001225752,-19.694484558624037,-42.86853835121079,-0.40419304337478934,4.0
temp,none,none,none,0.972,3.8929697791925064,0.4755972671518768,9.159093461622001,0.025656056568647674,0.011941937135357251,0.04202199653436092,-40.81167679773532,-92.9739899251374,-5.214058768343193,1.0
time,none,none,none,0.824,1.7577085243948514,0.5444234364847197,4.018701832860588,0.0075678901564809106,0.0018213448004407305,0.01583119110508751,-14.392045443442461,-45.27027887301813,3.1232875144045806,6.0
cont_trait_0,cat_trait_0,none,none,0.6666666666666666,0.5390752102399596,0.001163002358787912,5.70657291548853,0.28254818505591356,0.0026337050439434163,0.5788839409839104,-5.11398798608602,-19.388632281481136,6.944347654561682,7.0
cont_trait_0,pvr_0,none,none,0.708,0.6632866086231614,0.026526386610964882,1.8135965630642197,0.024982335766521008,0.0036860523050764064,0.4856489489610586,-7.177811843558798,-25.28640978225212,7.525519678161999,6.0
cont_trait_0,pvr_1,none,none,0.6933333333333334,0.8189377515129606,0.020829207202333458,2.200647330108199,0.0278561875958704,0.00469923082994141,0.6110426712516002,-10.860179919252438,-29.331630489861084,4.248078020662774,2.0
cont_trait_0,temp,none,none,0.7493333333333333,0.3837449176308249,0.050636118412263995,0.8757456013996378,0.023013615553463297,0.005608266020543515,0.6139300079647736,-10.578445344839265,-34.48655298727459,9.461480500953172,3.0
cont_trait_0,time,none,none,0.816,0.6834644684765896,0.02910593266432186,1.6046413024330524,0.019402555574436244,0.0017709948383584858,0.49460575006724883,-4.171234133780507,-17.378954498950804,7.0117228934190905,12.0
cat_trait_0,pvr_0,none,none,0.7773333333333333,0.6310532354088452,0.003726578095811712,7.405791679704191,0.026773075883530985,0.0032576537176672265,0.557395470898884,-5.036130692250131,-21.322883542432066,10.273728308603609,8.0
cat_trait_0,pvr_1,none,none,0.6133333333333333,0.7360422055803468,0.00014616596253138673,8.097234134801257,0.021696005460440447,0.0030274841830048413,0.5573927545311778,-5.33011772617935,-21.06841891442548,8.114361942836126,10.0
cat_trait_0,temp,none,none,0.9466666666666667,0.5535722044973479,0.0013485607909311957,7.119280133579823,0.025671466513203567,0.0033008928247163023,0.653940049689109,-16.34481459797404,-43.80667916331936,5.035226454719123,1.0
cat_trait_0,time,none,none,0.624,0.8240389322069491,0.019364122225053827,3.322546612818653,0.01791846676695314,0.000905784774864561,0.46439482282119265,-3.5574246899469313,-17.832388003825884,7.494553371314083,15.0
pvr_0,pvr_1,none,none,0.6586666666666666,0.6695292118643967,0.11694204659826035,1.5008804536725562,0.023050469829998282,0.004079776732999736,0.5356723102037629,-9.064694178612848,-29.20124749394435,7.271076029359506,4.0
pvr_0,temp,none,none,0.8826666666666667,0.2776542717816933,0.02741945660024191,0.5891844499180113,0.022548717563478628,0.0038067172105537774,0.6848914566086939,-7.28013291655481,-35.31133242454891,16.90554767942902,5.0
pvr_0,time,none,none,0.7906666666666666,0.6029353746339786,0.0958872914621027,1.310881487021935,0.019455007984828097,0.001313407321222323,0.6022714191435855,-2.764529659798242,-16.751159819758442,8.8572297160336,13.0
pvr_1,temp,none,none,0.5973333333333334,0.3789768194052754,0.01672598100725497,0.9207686371643925,0.02351066755796464,0.004993270135723569,0.503078143545124,-7.471555505724492,-37.77570066360508,19.317188442452903,9.0
pvr_1,time,none,none,0.7826666666666666,0.6946877496472306,0.06619047929565841,1.4924570912754636,0.017946800959776073,0.0013426876584826904,0.5014846506951596,-2.9984926304255377,-18.785924331573483,11.315235344432125,14.0
temp,time,none,none,0.0,0.32661718140126145,0.07495474614139018,0.6969166135142728,0.019781021830770497,0.0023281982303330487,0.5855467292408277,-6.780024229693646,-44.34359764565852,22.28496932773794,11.0
