feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
cont_trait_0,none,none,none,0.6213333333333333,1.1670826717628808,0.5289734173693114,1.9020895718919915,0.017247628094110432,0.00012595780896661895,0.037634617819424246,-5.625375687391097,-21.016776701130425,3.048359833877953,3.0
cat_trait_0,none,0_1,none,0.6013333333333334,0.9498675604217436,0.6716007230848772,1.1772615466062875,0.015284037632659153,0.00015526086581971792,0.03934040930661877,-5.911336049308873,-23.810129234475653,2.9190986248857484,4.0
pvr_0,none,none,none,0.9,1.2876648157457207,0.8542492653639565,1.8018076874133906,0.02447328067364322,0.00019653890218323275,0.04973764674523728,-8.966204068634346,-26.61635631903374,2.012812595726473,1.0
pvr_1,none,none,none,0.5213333333333333,1.0467888648977572,0.6339159213650183,1.5331038229422633,0.014798588481708999,0.00017832289340679642,0.03283443731860203,-6.5872642414821945,-23.487991883066343,3.0410932127815045,5.0
temp,none,none,none,0.7706666666666667,1.197238214826807,0.7255597070371766,1.7217029468722462,0.02184553198076632,0.0001666615410107853,0.04816736756056946,-12.080093441116363,-38.743755723589175,2.5696503769138417,2.0
time,none,none,none,0.56,1.0485500200476967,0.7011557288855556,1.4263619735729711,0.007897883766198361,3.7854747122204164e-05,0.020654050014194066,-2.6768588518739693,-11.036297808283734,2.536674303184327,6.0
cont_trait_0,cat_trait_0,none,none,0.5173333333333333,0.9459096655636378,0.0008113665880909079,8.530639943356519,0.021925570340048144,0.00016770506436307702,0.38966931480887446,-1.6954545318409624,-10.842627942296417,4.526180627246049,10.0
cont_trait_0,pvr_0,none,none,0.6786666666666666,0.7694987641488609,0.3440644949688051,1.0747570146602814,0.025182265879620143,0.00023208423313099362,0.469162554730039,-2.925197579815121,-14.075028224012215,5.0772776691495665,5.0
cont_trait_0,pvr_1,none,none,0.6053333333333333,0.9272958118055888,0.44605289718206037,1.535116275303206,0.023216757031314074,0.00011458923826203067,0.35956351454304186,-2.686232275094424,-13.096363105765192,4.320460946867058,7.0
cont_trait_0,temp,none,none,0.788,0.8254129372710582,0.43379256547023476,1.1772788848514513,0.02579399598586796,0.00014790414617607545,0.45434752383837707,-3.010622259980458,-15.937918318410425,5.694942840181966,4.0
cont_trait_0,time,none,none,0.5266666666666666,0.9385172534833968,0.4332971594441207,1.5254832660142872,0.014506626790997157,8.861485273785853e-05,0.46109244251402265,-0.9136160977595443,-6.4515998679728455,3.4277756152608845,14.0
cat_trait_0,pvr_0,none,none,0.6626666666666666,0.9377514197700091,0.0034558225725162626,8.655639002182559,0.021471251242500343,0.00013108566786127707,0.480927276500334,-2.359842116993236,-12.672180778990423,4.510822496799278,8.0
cat_trait_0,pvr_1,none,none,0.5413333333333333,1.1924870642806162,0.003395993221186656,10.30570113245344,0.019490896013460466,0.00017355356163316753,0.4753267047903393,-2.0278481597173967,-11.136973577127264,4.418783185341283,9.0
cat_trait_0,temp,none,none,0.816,0.6450214118446895,0.0015859166745903312,8.902645753715042,0.023847565515607076,0.0002354464253205375,0.39691036342524016,-4.639940841099792,-20.628035864708067,4.402064030905137,2.0
cat_trait_0,time,none,none,0.5826666666666667,0.8932635106872878,0.005295368573309957,7.455423757615315,0.013538894447798887,7.08141865130376e-05,0.41017704122598664,-1.0741788851416645,-6.896456524858706,3.6264638456251532,13.0
pvr_0,pvr_1,none,none,0.6413333333333333,0.8021025344814829,0.4559542322301601,1.1038291145420207,0.024229113509392664,0.00018123124214064457,0.45894805471591327,-2.7265134255897854,-13.52757596672717,5.018241066037206,6.0
pvr_0,temp,none,none,0.8173333333333334,0.7255035838625411,0.3801989166845423,1.0440309166846995,0.02624065739180674,0.00015927130984003533,0.4561813663460622,-4.763019346570374,-20.172510779452637,5.375767599994333,1.0
pvr_0,time,none,none,0.648,0.7843598980010817,0.48367444031093254,1.0743562837602991,0.013928567182880016,9.494921413247366e-05,0.3476401488504449,-1.2299143744632723,-7.568650419624305,3.6788692633800224,12.0
pvr_1,temp,none,none,0.8186666666666667,0.8487431033409845,0.34928482918248416,1.2295089859817199,0.023246156041370147,0.0002782261570019875,0.35627537560001654,-4.239184076999953,-19.862908153499518,5.73030556744834,3.0
pvr_1,time,none,none,0.5453333333333333,0.9820070302204967,0.5345578901357387,1.4130717840482072,0.012302399502288067,0.00010844853324909924,0.3971685155955833,-0.8837669319025454,-6.4519476814217,3.706683602915632,15.0
temp,time,none,none,0.49333333333333335,0.8764247065393501,0.5224845183362588,1.1483988975495312,0.016072604330978842,0.00014663155041535277,0.36984459975439427,-1.8659126573547675,-11.360572313725129,5.200523249560149,11.0
