	ts	te
T0	35.0	31.73
T1	33.86	24.54
T2	31.67	30.81
T3	31.56	29.44
T4	31.26	11.37
T5	30.67	27.29
T6	30.39	26.42
T7	30.38	22.75
T8	29.87	29.2
T10	29.73	24.03
T11	29.63	27.81
T12	29.34	25.28
T13	28.96	27.38
T14	28.27	20.05
T15	27.93	27.05
T16	27.74	21.18
T19	27.39	14.88
T20	27.0	20.0
T21	26.99	25.62
T22	26.34	22.28
T23	26.29	23.08
T24	25.85	22.02
T25	25.65	25.14
T26	25.53	24.16
T27	24.98	24.19
T28	24.57	23.01
T29	23.94	11.37
T30	23.73	23.36
T31	23.51	23.06
T32	23.17	20.61
T33	23.16	3.04
T34	22.9	19.44
T35	22.83	20.23
T36	21.9	15.84
T37	21.26	11.29
T38	21.16	5.04
T39	18.96	13.11
T42	18.14	14.65
T43	18.09	16.0
T44	18.04	17.3
T45	17.91	6.72
T46	17.28	11.44
T47	17.13	8.46
T49	17.03	14.04
T50	16.7	13.27
T53	16.62	14.8
T54	15.91	9.02
T55	15.67	10.51
T56	15.36	13.53
T57	15.28	7.31
T58	14.83	3.64
T59	14.71	7.04
T60	14.63	3.64
T61	14.48	12.65
T64	14.12	0.0
T65	14.03	3.93
T66	13.95	8.56
T67	13.6	11.46
T68	13.28	7.86
T70	13.1	7.46
T71	12.82	8.41
T72	12.71	10.67
T73	12.52	0.0
T74	12.03	11.03
T75	11.93	10.92
T76	11.75	7.52
T77	11.69	8.73
T78	11.69	8.31
T79	11.49	6.56
T82	11.36	6.05
T84	11.21	6.56
T85	10.95	0.0
T86	10.92	9.46
T88	10.89	10.04
T89	10.53	6.58
T90	10.39	8.9
T92	10.09	0.0
T93	9.87	7.18
T94	9.76	0.0
T95	9.67	8.37
T96	9.66	3.78
T97	9.64	7.52
T99	9.51	7.18
T100	9.47	0.0
T101	9.36	8.35
T102	9.17	0.0
T103	8.98	4.03
T105	8.51	2.17
T107	8.34	3.26
T108	8.1	4.99
T109	7.99	3.65
T110	7.99	6.91
T111	7.92	3.36
T112	7.92	0.0
T113	7.83	7.26
T114	7.81	5.79
T115	7.8	0.0
T118	7.48	6.89
T119	7.29	2.48
T120	7.29	6.49
T121	7.28	0.0
T122	7.27	0.0
T124	7.06	0.7
T125	6.95	5.79
T126	6.8	0.0
T127	6.79	0.0
T129	6.47	3.64
T131	6.18	4.94
T133	6.09	3.57
T134	5.93	5.68
T135	5.88	3.87
T137	5.85	0.24
T138	5.58	3.8
T139	5.56	4.66
T140	5.47	0.0
T141	5.39	3.68
T143	5.32	0.0
T144	5.26	0.45
T145	5.24	0.0
T146	5.12	0.0
T148	5.07	0.0
T149	5.01	0.0
T151	4.87	3.27
T152	4.86	3.56
T153	4.84	0.0
T154	4.84	0.0
T156	4.82	0.0
T157	4.76	0.0
T158	4.75	0.0
T159	4.69	2.08
T160	4.66	1.32
T161	4.6	3.06
T163	4.46	0.0
T165	4.42	3.19
T167	4.25	0.0
T168	4.16	0.0
T169	4.13	0.06
T171	3.9	0.0
T172	3.86	2.12
T173	3.84	0.0
T174	3.82	0.0
T175	3.77	3.62
T178	3.62	0.0
T179	3.58	2.16
T180	3.56	2.66
T182	3.52	0.0
T183	3.42	0.34
T184	3.4	0.0
T187	3.23	0.0
T188	3.11	0.0
T189	3.08	1.52
T190	3.04	0.0
T191	3.02	0.58
T192	3.02	0.0
T193	2.94	1.19
T194	2.93	0.69
T195	2.65	0.0
T196	2.39	0.0
T197	2.35	0.0
T199	2.31	0.0
T200	2.14	0.0
T201	2.12	0.0
T202	2.11	0.0
T203	2.0	1.41
T204	1.97	0.0
T206	1.82	0.0
T207	1.71	1.12
T208	1.68	0.0
T209	1.66	0.0
T210	1.64	0.0
T211	1.58	0.91
T212	1.58	0.0
T214	1.26	0.0
T215	1.19	0.0
T216	1.19	0.49
T217	1.13	0.0
T218	1.08	0.74
T219	1.08	0.0
T222	1.01	0.0
T224	0.84	0.0
T225	0.83	0.0
T226	0.83	0.13
T227	0.82	0.0
T229	0.72	0.0
T230	0.71	0.52
T231	0.64	0.14
T232	0.6	0.0
T234	0.57	0.0
T235	0.56	0.0
T236	0.47	0.0
T238	0.45	0.0
T246	0.24	0.0
T247	0.21	0.0
T248	0.16	0.0
T249	0.14	0.0
