scientificName	cont_trait_0	cat_trait_0	pvr_0	pvr_1
T0	-0.018581738600399054	1	-0.7834374725329843	0.0579926106019736
T1	2.92234742799078	1	-0.3173870800821082	-0.320283153150802
T2	-0.17237473046473206	0	-0.623696528570787	-0.1207903511637509
T3	1.8272674988956634	0	-0.6159050802215141	-0.1178094326909456
T4	0.5798477864146153	1	-0.4048278526594286	-0.27665253901681
T5	-1.4075192742300298	1	-0.729542157537486	0.005038809780688
T6	-0.002343299591969897	1	-0.6368625852755689	-0.1258706634181504
T7	-0.5314821521983741	0	-0.6259873754134123	-0.1216765790217892
T8	-0.5025844393527962	1	0.0179500688699311	-0.6046411118659265
T9	1.3383645654001979	1	-0.6279941202705622	-0.1224385333951929
T10	2.046726605399078	1	-0.6295886065801537	-0.1230612867737199
T11	0.7027301307273317	1	-0.7691759179850521	0.0426261086316511
T12	-0.6003811383558645	1	-0.40922452952789	-0.2831209645393545
T14	-0.5463466318397814	0	-0.4065767466089067	-0.2790928508137009
T15	0.349574234834917	1	-0.8075154494117003	0.0820791229465719
T16	1.2087123259196075	1	-1.3736340989220808	0.6458051332555886
T17	-0.4037348679815715	1	-0.6280234458509554	-0.122449666557983
T18	1.0732132055784354	1	-0.4695071156836173	-0.3755038208108889
T19	0.6971523090962629	0	-0.7686776629105905	0.0425722956248627
T20	0.2407999644082173	1	-0.6277651177682457	-0.1223515393086683
T21	-0.5076534252736745	1	-0.632078763864901	-0.1240201735839058
T22	-0.40630550874011817	1	-0.4122890066256581	-0.2876620948730007
T23	-0.8792580100960855	0	-0.6349541398042428	-0.1251359964526457
T24	0.7156156522649234	1	-0.6333103439540418	-0.1244945640852357
T26	-1.5031352621786451	1	-0.6358666479064806	-0.1254843443753668
T27	0.7965485146134252	1	-0.6396079559091299	-0.1269328046793109
T29	0.9721641354497942	0	-0.6399765110291652	-0.1270791174557593
T30	-0.3845291360112634	1	-0.0642233068199908	-0.4790518433656333
T33	0.40397506852581144	1	-0.4283062611824598	-0.311052708108492
T34	-0.4217618071841191	1	-0.6416615516645972	-0.1277333515713734
T36	-0.6615992829674061	1	-0.6378912289337203	-0.1262671467793192
T37	-2.1526142989318866	0	0.1538828075175912	-0.4002433240521755
T38	-0.09676523613733543	1	0.020413026563249	-0.9545135043904178
T39	0.20745249554253306	1	-0.6378602954713791	-0.1262568863718275
T40	-0.3715103104495534	0	0.0179756107886635	-0.6063189705043701
T41	2.276181920118799	0	0.2610889159438086	-0.2979927359246096
T42	-1.486513682885	1	-1.1722069094463787	0.4404143895400081
T43	-0.5453522557102899	0	-0.6409790324840672	-0.1274680719365416
T44	0.9002609614466476	1	-1.1929217244175851	0.4575806250371978
T45	-0.6424732575202347	1	-1.194606609967177	0.4630218818481215
T46	-0.058102152134088286	0	0.3312432420480833	-0.2291642741334064
T47	-2.5811956945675743	0	-1.2282333713445617	0.4965807501567253
T48	-0.29444673970178764	1	0.0220207282912329	-1.191134117974735
T49	-0.7469161581861716	0	-1.2280893548359018	0.4964649500870017
T50	0.2064772429295824	1	-1.2390889006374397	0.5052458860977326
T53	-0.4680347754645803	0	0.6026740410129099	0.0382148422333824
T55	0.7902444107735886	0	0.3435052322089785	-0.2178651887137806
T56	-0.6374736107581646	1	-1.2346448634518827	0.5016712019551558
T59	0.8878600797398656	1	-0.4348535619188872	-0.3217746981402553
T61	0.08326649823199403	0	-0.4263837913203594	-0.3083283504753121
T62	-0.5173143013651452	1	0.0204334631380938	-0.9563763833477348
T63	-0.5225597334558832	1	0.0262135353842094	-1.8081486587946252
T64	-0.14819941901929162	1	-0.4279007691425657	-0.3104774930325507
T65	0.022968454159341276	1	-0.6432628875757387	-0.128355643933797
T67	0.8557928648531126	1	-1.4015120694990508	0.6739512079949137
T68	-1.299727394319814	0	0.0227047951428308	-1.2875252487317443
T69	-1.6470897838749035	1	-1.3983015773544671	0.6698703928208495
T70	1.1686332346360115	1	-1.5066824021982026	0.7891994626096489
T71	-0.31778546030469546	1	-1.3931353318695188	0.6660291452576441
T72	-1.4698744998063904	1	-1.2414677858558192	0.5071394994912828
T73	0.8677245647924811	1	-1.2599098110997635	0.5220512150648553
T74	1.4276843684866676	0	0.6283755990145914	0.0059164144802358
T76	-2.1975555027128815	1	-1.3972717486899509	0.6699288490220433
T77	-0.4506627739244832	0	0.02272776043303	-1.29009615256243
T78	0.78040526769994	0	0.8669980524995085	0.3319178748493124
T81	-0.23785036038808105	0	0.0229920447276059	-1.3196561614711364
T85	0.24115118584730016	1	-1.4075698394700071	0.6796597260731659
T86	-1.7066326045322533	1	-1.4206509189899776	0.6911020217656394
T88	0.6373525253011	0	-1.4416663929972335	0.7186196152808025
T89	-1.3890711660985426	1	-1.4180705331678831	0.6896819405651273
T91	-0.8664231669916226	1	-1.4091228928120243	0.680107847790556
T92	3.3338224511098695	1	-1.4089250535152855	0.6799263711279241
T93	-1.4915994462160493	0	-1.4859181322615809	0.7656386821828927
T94	0.9437743875065964	1	-1.4055637691013572	0.6777725524659071
T95	1.9767298888349762	1	0.0249676446343932	-1.6284718751753058
T97	-0.971944432580501	1	0.025803851876579	-1.7420600701567963
T98	-0.7592798276554694	0	0.7788980870347799	0.2183109539681808
T99	0.457500315821822	1	-1.4165226514131324	0.6871666899154741
T100	0.13526668777014875	1	-1.5176538739944008	0.8004041066802136
T101	0.9993389533376039	1	-1.522963636484682	0.8074819611018323
T102	1.9949519237375615	1	-1.1955781855175962	0.4595703764039411
T103	0.02883411205905303	1	0.0266299832563742	-1.88639570196898
T104	-0.707063124830081	0	0.8329500001442184	0.2834876843701193
T106	-1.0509619417408949	1	0.0257613937625294	-1.7470046302146796
T107	0.27360743246623875	1	-1.4281034409798867	0.6981993747450468
T108	0.4790130529588949	0	0.7875020022495408	0.2233564316120584
T109	-0.5459656012636953	1	-1.4261091968142416	0.6963059981456413
T110	1.4238692275743965	1	-1.6375213514380984	0.9360346193221152
T115	1.120493091656516	0	0.829477049827569	0.2480334596654461
T116	-0.25316321109228423	1	0.0253952975256102	-1.6884363759432164
T117	1.671518854890775	0	-1.4838715491783785	0.7635834192423999
T118	-1.3722967872010818	0	-1.4849106540122856	0.7646264634584049
T119	-0.1948466915534044	0	1.2567739714254238	0.8092669541757286
T120	-0.15219389513923953	1	-1.4373727538662882	0.707100547858772
T121	0.5670605649707081	0	0.7793508589402343	0.2185582008797693
T122	-0.7044583887817863	1	0.0294816776747162	-2.3323013203113807
T123	-0.5123576158438351	1	0.0254122772223271	-1.6906667712447754
T126	-0.08253857312782228	0	0.8282241411768125	0.280354886460638
T127	-0.38889249063953457	1	-1.4253051052681691	0.6965635508311158
T130	1.0657518952550304	0	0.8283963376380714	0.2804685565986267
T132	-1.5154151599754058	0	0.802671912257929	0.2322111898507538
T134	-1.0692408712018555	1	0.828010077024223	0.2802137710389253
T135	-2.035779794338629	1	-0.4588755906620269	-0.3587922608375571
T136	0.2416950686366553	1	-1.4288134772559822	0.6988925340231781
T137	-0.12129515083490461	1	-1.5679889651820018	0.8579807751481334
T138	-1.6928668816019936	0	0.8288307670701844	0.2807590091590621
T140	0.37397257672821727	1	-1.522999566927831	0.805923398595815
T141	-0.7322157026611493	1	0.0255060848959649	-1.7029289560776515
T142	0.0261746246853671	0	1.0780671977173235	0.5785989285221917
T143	-0.17476487883843228	0	0.8315973486015402	0.2492067060909606
T144	-0.34420365215424914	0	1.033435369198395	0.5313830437903334
T145	0.2785846845436834	1	-1.423527066090607	0.6948713964300324
T146	0.5609121285341153	0	0.8309504311248709	0.2821621510072589
T147	0.5082223519312575	0	0.023009448232893	-1.3216026189679255
T148	-3.665261506185126	1	0.0255522250931944	-1.7089728811594564
T150	-0.3663584278742073	1	-0.4596702518160581	-0.3600990968638945
T151	1.5888579192422263	1	-1.6163333821231434	0.911885984459612
T152	-0.043645704335255026	1	-1.5202096093833608	0.8030329401922193
