age	temp
0	-1.02691002101773
0.002	-1.0971867347921
0.004	-1.04799303515004
0.006	-1.43029835808259
0.008	-1.64534510223215
0.01	-3.0016856780774
0.012	-2.85410457915123
0.014	-3.60325434798596
0.016	-3.57092705964975
0.018	-3.49643374304893
0.02	-3.33901390419435
0.022	-3.17737746251331
0.024	-3.13942803707515
0.026	-2.99887460952642
0.028	-3.00871334945483
0.03	-3.07196239185176
0.032	-2.87097099045708
0.034	-2.87799866183451
0.036	-2.73463416573481
0.038	-2.76274485124455
0.04	-2.76977252262199
0.042	-2.84004923639636
0.044	-2.65030210920557
0.046	-2.71636222015347
0.048	-2.72760649435737
0.05	-2.72760649435737
0.052	-2.72760649435737
0.054	-2.58424199825767
0.056	-2.7135511516025
0.058	-2.74166183711225
0.06	-2.93422003285401
0.062	-3.02557976076068
0.064	-2.98060266394509
0.066	-3.06493472047432
0.068	-2.7908555367543
0.07	-2.58424199825767
0.072	-2.44649963925991
0.074	-2.44649963925991
0.076	-2.22161415518194
0.078	-2.12322675589783
0.08	-1.99672867110397
0.082	-2.03889469936859
0.084	-1.92223535450315
0.086	-2.03889469936859
0.088	-2.23145289511035
0.09	-2.65732978058301
0.092	-2.42120002230114
0.094	-2.18647579829476
0.096	-2.35232884280226
0.098	-2.18647579829476
0.1	-2.17944812691732
0.102	-2.01781168523628
0.104	-1.71562181600651
0.106	-1.87023058631012
0.108	-1.84211990080037
0.11	-2.05295004212347
0.112	-2.14712083858112
0.114	-2.40433361099529
0.116	-2.32000155446605
0.118	-2.22161415518194
0.12	-2.23145289511035
0.122	-1.71562181600651
0.124	-1.4626256464188
0.126	-1.30380027328873
0.128	-1.01566574681384
0.13	-1.31926115031909
0.132	-2.06278878205188
0.134	-3.24343757346121
0.136	-3.42334596072359
0.138	-3.38820760383641
0.14	-3.52876103138513
0.142	-3.31371428723558
0.144	-3.37415226108153
0.146	-3.00871334945483
0.148	-3.04666277489299
0.15	-3.12115609149382
0.152	-2.72760649435737
0.154	-3.19846047664562
0.156	-3.03260743213812
0.158	-2.79788320813174
0.16	-2.89627060741585
0.162	-2.83021049646795
0.164	-2.82599389364148
0.166	-2.75150057704066
0.168	-2.67560172616434
0.17	-2.62921909507326
0.172	-2.7135511516025
0.174	-2.75571717986712
0.176	-2.89627060741585
0.178	-2.68544046609275
0.18	-2.7908555367543
0.182	-2.85410457915123
0.184	-2.86394331907964
0.186	-2.87518759328354
0.188	-2.62921909507326
0.19	-2.02905595944018
0.192	-2.15836511278501
0.194	-1.77887085840344
0.196	-1.78168192695442
0.198	-1.62004548527338
0.2	-1.54133556584609
0.202	-1.4626256464188
0.204	-1.68751113049677
0.206	-1.66642811636446
0.208	-1.64534510223215
0.21	-1.58912373121266
0.212	-1.6172344167224
0.214	-1.64534510223215
0.216	-1.56382411425388
0.218	-1.48089759200013
0.22	-1.43873156373551
0.222	-1.58069052555973
0.224	-1.72264948738395
0.226	-2.46758265339222
0.228	-2.6250024922468
0.23	-2.6474910406546
0.232	-2.67138512333788
